id,link,jenis,kepedean,status,tanggal,lastModified,reasoning,image,flagged
1,https://zeus-olympus.com/login-area/main-dashboard/index.php,Judi,98,unverified,2025-10-09,2025-10-09,"Situs terdeteksi mengandung elemen slot dan promosi permainan judi online. Ditemukan iframe yang merujuk ke server kasino.","/placeholder.svg?height=200&width=300",false
2,https://sahabatdewasa.net/video-terbaru/kategori/asia,Pornografi,92,verified,2025-10-08,2025-10-09,"Konten secara eksplisit menampilkan materi pornografi yang melanggar UU ITE.","/placeholder.svg?height=200&width=300",true
3,https://klik-hadiah-gratis.info/claim-your-prize-now,Penipuan,85,unverified,2025-10-08,2025-10-08,"Situs meminta data pribadi dengan iming-iming hadiah yang tidak jelas (phishing).","/placeholder.svg?height=200&width=300",false
4,https://investasi-pasti-profit.com/member/register,Penipuan,95,verified,2025-10-07,2025-10-07,"Skema ponzi; tidak terdaftar di OJK.","/placeholder.svg?height=200&width=300",false
5,https://slotgacor-terpercaya.io/link-alternatif/resmi,Judi,65,unverified,2025-10-06,2025-10-06,"Agregator situs judi online dengan tautan keluar ke platform slot.","/placeholder.svg?height=200&width=300",false
6,https://nonton-film-hot.xyz/play/12345,Pornografi,78,unverified,2025-10-05,2025-10-05,"Judul dan deskripsi film mengarah ke konten dewasa.","/placeholder.svg?height=200&width=300",true
7,https://beritaviral-hoax.com/artikel-terbaru.html,Penipuan,80,false-positive,2025-10-04,2025-10-05,"Ditandai mesin, namun konten satir/clickbait.","/placeholder.svg?height=200&width=300",false
8,https://mainkartu-online.net/poker-room/lobby,Judi,96,verified,2025-10-03,2025-10-03,"Platform permainan kartu dengan taruhan uang asli.","/placeholder.svg?height=200&width=300",false
9,https://link-contoh-panjang-sekali-untuk-test-9.com/folder/subfolder/page.html,Jenis,73,unverified,2025-10-02,2025-10-02,"Reasoning otomatis untuk item #9.","/placeholder.svg?height=200&width=300",false
10,https://link-contoh-panjang-sekali-untuk-test-10.com/folder/subfolder/page.html,Judi,88,unverified,2025-10-02,2025-10-02,"Reasoning otomatis untuk item #10.","/placeholder.svg?height=200&width=300",false
11,https://link-contoh-panjang-sekali-untuk-test-11.com/folder/subfolder/page.html,Pornografi,91,unverified,2025-10-02,2025-10-02,"Reasoning otomatis untuk item #11.","/placeholder.svg?height=200&width=300",false
12,https://link-contoh-panjang-sekali-untuk-test-12.com/folder/subfolder/page.html,Penipuan,67,unverified,2025-10-02,2025-10-02,"Reasoning otomatis untuk item #12.","/placeholder.svg?height=200&width=300",false
